"HIOKI E.E. CORPORATION","IM3570","Ver. 3.06"

"DATE","23-01-28"
"TIME","18:18:05"

"SOURCE","FREQ"
"TRIG","SEQ"
"DRAW","REAL"
"TRIG DELAY","0.2000","s"
"DCBIAS","OFF"

"V","0.010","V"
"RANGE","AUTO"
"SPEED","SLOW"
"AVG","OFF"
"POINT DELAY","0.0000","s"
"No.","FREQUENCY(Hz)","Z[É∂]","É∆[Åã]"
"1","100.00E+00","638.265E-03","0.193"
"2","101.36E+00","637.891E-03","0.128"
"3","102.74E+00","638.712E-03","0.192"
"4","104.14E+00","638.433E-03","0.175"
"5","105.56E+00","639.094E-03","0.077"
"6","107.00E+00","638.584E-03","0.192"
"7","108.45E+00","638.834E-03","0.202"
"8","109.93E+00","638.078E-03","0.216"
"9","111.43E+00","638.663E-03","0.224"
"10","112.94E+00","638.201E-03","0.156"
"11","114.48E+00","638.875E-03","0.195"
"12","116.04E+00","639.013E-03","0.183"
"13","117.62E+00","638.797E-03","0.196"
"14","119.22E+00","638.674E-03","0.158"
"15","120.85E+00","638.221E-03","0.181"
"16","122.49E+00","638.910E-03","0.218"
"17","124.16E+00","638.689E-03","0.179"
"18","125.85E+00","638.923E-03","0.181"
"19","127.56E+00","638.239E-03","0.159"
"20","129.30E+00","638.688E-03","0.131"
"21","131.06E+00","639.035E-03","0.167"
"22","132.85E+00","638.080E-03","0.175"
"23","134.65E+00","637.908E-03","0.163"
"24","136.49E+00","638.731E-03","0.190"
"25","138.35E+00","637.901E-03","0.170"
"26","140.23E+00","638.021E-03","0.146"
"27","142.14E+00","638.689E-03","0.176"
"28","144.08E+00","637.785E-03","0.182"
"29","146.04E+00","639.270E-03","0.178"
"30","148.03E+00","637.815E-03","0.178"
"31","150.04E+00","638.373E-03","0.162"
"32","152.08E+00","638.640E-03","0.235"
"33","154.16E+00","638.127E-03","0.173"
"34","156.25E+00","638.272E-03","0.212"
"35","158.38E+00","638.646E-03","0.156"
"36","160.54E+00","638.304E-03","0.203"
"37","162.72E+00","639.122E-03","0.158"
"38","164.94E+00","639.060E-03","0.197"
"39","167.19E+00","638.038E-03","0.316"
"40","169.46E+00","637.362E-03","0.254"
"41","171.77E+00","637.727E-03","0.250"
"42","174.11E+00","639.066E-03","0.192"
"43","176.48E+00","638.521E-03","0.219"
"44","178.88E+00","638.028E-03","0.275"
"45","181.32E+00","638.541E-03","0.293"
"46","183.79E+00","638.417E-03","0.280"
"47","186.29E+00","638.694E-03","0.223"
"48","188.83E+00","637.920E-03","0.202"
"49","191.40E+00","638.398E-03","0.237"
"50","194.00E+00","638.324E-03","0.252"
"51","196.65E+00","638.060E-03","0.255"
"52","199.32E+00","638.968E-03","0.226"
"53","202.04E+00","638.385E-03","0.233"
"54","204.79E+00","639.715E-03","0.277"
"55","207.58E+00","638.448E-03","0.195"
"56","210.40E+00","637.788E-03","0.276"
"57","213.27E+00","637.595E-03","0.227"
"58","216.17E+00","638.504E-03","0.255"
"59","219.12E+00","638.806E-03","0.244"
"60","222.10E+00","639.103E-03","0.242"
"61","225.12E+00","638.244E-03","0.272"
"62","228.19E+00","638.961E-03","0.312"
"63","231.30E+00","637.598E-03","0.278"
"64","234.45E+00","638.135E-03","0.256"
"65","237.64E+00","638.430E-03","0.254"
"66","240.87E+00","637.780E-03","0.312"
"67","244.15E+00","638.410E-03","0.261"
"68","247.48E+00","638.061E-03","0.214"
"69","250.85E+00","638.107E-03","0.246"
"70","254.26E+00","638.140E-03","0.305"
"71","257.73E+00","637.863E-03","0.330"
"72","261.24E+00","638.400E-03","0.324"
"73","264.79E+00","638.202E-03","0.260"
"74","268.40E+00","638.714E-03","0.308"
"75","272.05E+00","638.096E-03","0.327"
"76","275.76E+00","638.250E-03","0.227"
"77","279.51E+00","637.705E-03","0.303"
"78","283.32E+00","637.747E-03","0.317"
"79","287.18E+00","637.841E-03","0.218"
"80","291.09E+00","638.078E-03","0.310"
"81","295.05E+00","638.389E-03","0.234"
"82","299.07E+00","637.814E-03","0.344"
"83","303.14E+00","637.700E-03","0.308"
"84","307.27E+00","638.363E-03","0.326"
"85","311.45E+00","638.110E-03","0.337"
"86","315.69E+00","638.480E-03","0.300"
"87","319.99E+00","638.315E-03","0.335"
"88","324.35E+00","637.642E-03","0.295"
"89","328.77E+00","637.602E-03","0.377"
"90","333.24E+00","638.255E-03","0.377"
"91","337.78E+00","638.547E-03","0.306"
"92","342.38E+00","638.368E-03","0.426"
"93","347.04E+00","638.922E-03","0.391"
"94","351.77E+00","637.895E-03","0.397"
"95","356.56E+00","637.811E-03","0.320"
"96","361.41E+00","638.691E-03","0.335"
"97","366.33E+00","637.900E-03","0.385"
"98","371.32E+00","638.334E-03","0.388"
"99","376.38E+00","637.934E-03","0.289"
"100","381.50E+00","638.232E-03","0.362"
"101","386.70E+00","638.712E-03","0.399"
"102","391.96E+00","637.591E-03","0.392"
"103","397.30E+00","637.579E-03","0.450"
"104","402.71E+00","639.133E-03","0.345"
"105","408.19E+00","637.784E-03","0.444"
"106","413.75E+00","638.892E-03","0.443"
"107","419.39E+00","637.712E-03","0.414"
"108","425.10E+00","638.220E-03","0.450"
"109","430.88E+00","637.998E-03","0.440"
"110","436.75E+00","637.935E-03","0.439"
"111","442.70E+00","638.533E-03","0.480"
"112","448.73E+00","638.859E-03","0.483"
"113","454.84E+00","639.103E-03","0.455"
"114","461.03E+00","638.279E-03","0.418"
"115","467.31E+00","638.522E-03","0.431"
"116","473.67E+00","638.013E-03","0.497"
"117","480.12E+00","637.901E-03","0.457"
"118","486.66E+00","638.637E-03","0.431"
"119","493.29E+00","639.025E-03","0.460"
"120","500.00E+00","637.536E-03","0.401"
"121","506.81E+00","637.022E-03","0.495"
"122","513.71E+00","638.384E-03","0.458"
"123","520.71E+00","639.037E-03","0.507"
"124","527.80E+00","638.242E-03","0.525"
"125","534.98E+00","639.171E-03","0.524"
"126","542.27E+00","638.436E-03","0.526"
"127","549.65E+00","638.872E-03","0.452"
"128","557.14E+00","638.904E-03","0.436"
"129","564.72E+00","638.104E-03","0.563"
"130","572.41E+00","638.276E-03","0.583"
"131","580.21E+00","639.703E-03","0.597"
"132","588.11E+00","637.943E-03","0.514"
"133","596.12E+00","637.132E-03","0.468"
"134","604.23E+00","640.077E-03","0.507"
"135","612.46E+00","638.149E-03","0.567"
"136","620.80E+00","638.044E-03","0.554"
"137","629.25E+00","637.922E-03","0.683"
"138","637.82E+00","637.986E-03","0.494"
"139","646.51E+00","637.811E-03","0.613"
"140","655.31E+00","637.841E-03","0.630"
"141","664.23E+00","637.526E-03","0.529"
"142","673.28E+00","637.819E-03","0.668"
"143","682.44E+00","638.067E-03","0.572"
"144","691.74E+00","638.445E-03","0.511"
"145","701.16E+00","638.440E-03","0.631"
"146","710.70E+00","638.948E-03","0.600"
"147","720.38E+00","638.894E-03","0.592"
"148","730.19E+00","638.091E-03","0.525"
"149","740.13E+00","638.831E-03","0.644"
"150","750.21E+00","638.227E-03","0.632"
"151","760.43E+00","638.980E-03","0.626"
"152","770.78E+00","639.320E-03","0.556"
"153","781.28E+00","638.905E-03","0.730"
"154","791.91E+00","637.247E-03","0.602"
"155","802.70E+00","638.326E-03","0.667"
"156","813.63E+00","638.104E-03","0.614"
"157","824.71E+00","638.071E-03","0.692"
"158","835.94E+00","637.420E-03","0.753"
"159","847.32E+00","639.362E-03","0.706"
"160","858.86E+00","638.302E-03","0.806"
"161","870.55E+00","638.816E-03","0.831"
"162","882.40E+00","638.366E-03","0.769"
"163","894.42E+00","638.426E-03","0.831"
"164","906.60E+00","638.069E-03","0.756"
"165","918.94E+00","638.779E-03","0.753"
"166","931.46E+00","639.530E-03","0.769"
"167","944.14E+00","639.040E-03","0.828"
"168","957.00E+00","637.772E-03","0.838"
"169","970.03E+00","638.937E-03","0.890"
"170","983.24E+00","638.967E-03","0.871"
"171","996.62E+00","640.088E-03","0.861"
"172","1.0102E+03","639.285E-03","0.891"
"173","1.0239E+03","638.786E-03","0.880"
"174","1.0379E+03","638.312E-03","0.932"
"175","1.0520E+03","638.911E-03","0.913"
"176","1.0663E+03","638.642E-03","0.917"
"177","1.0809E+03","638.559E-03","0.899"
"178","1.0956E+03","638.620E-03","1.023"
"179","1.1105E+03","639.168E-03","0.997"
"180","1.1256E+03","638.286E-03","1.023"
