"HIOKI E.E. CORPORATION","IM3570","Ver. 3.06"

"DATE","23-01-28"
"TIME","18:24:00"

"SOURCE","FREQ"
"TRIG","SEQ"
"DRAW","REAL"
"TRIG DELAY","0.2000","s"
"DCBIAS","OFF"

"V","1.000","V"
"RANGE","AUTO"
"SPEED","SLOW"
"AVG","OFF"
"POINT DELAY","0.0000","s"
"No.","FREQUENCY(Hz)","Z[É∂]","É∆[Åã]"
"1","100.00E+00","14.33400E+06","-88.247"
"2","101.36E+00","14.45649E+06","-85.096"
"3","102.74E+00","14.66278E+06","-87.564"
"4","104.14E+00","13.86731E+06","-85.980"
"5","105.56E+00","13.94288E+06","-87.482"
"6","107.00E+00","13.74445E+06","-86.610"
"7","108.45E+00","13.62317E+06","-86.660"
"8","109.93E+00","13.42990E+06","-87.940"
"9","111.43E+00","13.14816E+06","-86.998"
"10","112.94E+00","12.98640E+06","-86.227"
"11","114.48E+00","12.94051E+06","-86.573"
"12","116.04E+00","12.75047E+06","-86.349"
"13","117.62E+00","12.67036E+06","-87.774"
"14","119.22E+00","12.50269E+06","-86.214"
"15","120.85E+00","12.16623E+06","-86.941"
"16","122.49E+00","12.11851E+06","-86.545"
"17","124.16E+00","11.95173E+06","-86.622"
"18","125.85E+00","11.85606E+06","-86.741"
"19","127.56E+00","11.59776E+06","-86.832"
"20","129.30E+00","11.55449E+06","-87.246"
"21","131.06E+00","11.39436E+06","-86.882"
"22","132.85E+00","11.22040E+06","-86.742"
"23","134.65E+00","11.12718E+06","-86.855"
"24","136.49E+00","10.89951E+06","-86.865"
"25","138.35E+00","10.90736E+06","-86.905"
"26","140.23E+00","10.63774E+06","-86.961"
"27","142.14E+00","10.51983E+06","-86.879"
"28","144.08E+00","10.26364E+06","-86.733"
"29","146.04E+00","10.31394E+06","-87.054"
"30","148.03E+00","10.08414E+06","-86.846"
"31","150.04E+00","9.991201E+06","-87.554"
"32","152.08E+00","9.850835E+06","-87.531"
"33","154.16E+00","9.713581E+06","-87.091"
